sample_index,elapsed_seconds,local_time_iso8601,x,y,z,rotation_x,rotation_y,rotation_z,speed_mps,is_in_C,is_in_F,is_in_O,ECG,HR,RMSSD
36,18.356,2026-08-06T14:15:45.9545843+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-908,95,55.4801979
37,18.858,2026-08-06T14:15:46.4561217+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-908,94,55.4789658
38,19.362,2026-08-06T14:15:46.9605399+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-874,94,55.4789658
39,19.865,2026-08-06T14:15:47.4682978+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-784,92,43.8883095
40,20.369,2026-08-06T14:15:47.9688700+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-165,92,43.8883095
41,20.875,2026-08-06T14:15:48.4749311+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-940,92,41.5329361
42,21.379,2026-08-06T14:15:48.9780164+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-925,92,41.5329361
43,21.882,2026-08-06T14:15:49.4823845+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-893,91,18.4372406
44,22.393,2026-08-06T14:15:49.9923379+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-726,91,18.4372406
45,22.897,2026-08-06T14:15:50.4969544+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-777,90,16.5312023
46,23.398,2026-08-06T14:15:50.9978830+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-830,90,16.5312023
47,23.907,2026-08-06T14:15:51.5067105+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,1,0,0,-830,90,9.32859993
48,24.412,2026-08-06T14:15:52.0113854+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,1,0,1,-697,89,9.97269344
49,24.916,2026-08-06T14:15:52.5139218+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,1,-687,89,9.97269344
50,25.419,2026-08-06T14:15:53.0184105+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,1,-349,89,22.2812843
51,25.921,2026-08-06T14:15:53.5199406+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-1027,89,22.2812843
52,26.424,2026-08-06T14:15:54.0236993+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,1,-923,89,23.145031
53,26.934,2026-08-06T14:15:54.5322487+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,0,-2944,89,23.145031
54,27.436,2026-08-06T14:15:55.0355643+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,0,-536,89,23.145031
55,27.937,2026-08-06T14:15:55.5362507+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,0,-1180,89,23.145031
56,28.439,2026-08-06T14:15:56.0384031+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,0,-374,89,22.8934956
57,28.942,2026-08-06T14:15:56.5416517+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,0,-374,89,22.8934956
58,29.444,2026-08-06T14:15:57.0430415+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,0,-859,90,29.0188637
59,29.951,2026-08-06T14:15:57.5500842+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,0,-806,90,29.0188637
60,30.452,2026-08-06T14:15:58.0507155+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,0,-755,90,26.4424324
61,30.954,2026-08-06T14:15:58.5533368+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,0,-723,90,26.4424324
